,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,months_since_released,mthly_streams
192,Titi Me Preguntï¿,Bad Bunny,1,2022,5,6,9037,42,1264310836,107,F,Minor,65,19,72,10,0,13,25,20,63215542.0
193,Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,11,30343206,146,B,Minor,50,67,89,0,0,19,8,5,6068641.0
194,Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,1788,14,405136812,139,A,Minor,48,37,41,32,0,10,10,47,8619932.0
195,Have You Ever Seen The Rain?,Creedence Clearwater Revival,1,1968,7,1,15890,14,1145727611,116,0,Major,74,76,70,7,0,13,3,675,1697374.0
196,Es un Secreto,Plan B,1,2010,7,20,492,36,540654286,95,F#,Minor,84,52,77,12,0,7,4,163,3316897.0
197,POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,33,57312735,170,G#,Minor,62,55,80,15,0,37,7,6,9552122.0
198,Ditto,NewJeans,1,2022,12,19,1154,22,397582059,134,F#,Minor,81,18,64,3,0,10,11,12,33131838.0
199,Take On Me,a-ha,1,1984,10,19,44927,17,1479115056,84,F#,Minor,57,86,90,2,0,9,5,477,3100870.0
200,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,551,4,86773632,146,B,Minor,61,20,48,21,0,12,6,7,12396233.0
201,"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,577,14,133753727,74,A#,Minor,53,24,67,11,0,10,28,8,16719216.0
202,Acrï¿½ï¿½s,Shakira,1,2023,5,11,955,29,123124076,144,B,Major,75,35,48,84,0,10,12,7,17589154.0
203,AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,995,19,463564958,136,B,Minor,77,79,73,15,0,27,10,13,35658843.0
204,"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,6,64533040,100,E,Major,56,53,55,53,0,12,4,7,9219006.0
205,S-Class,Stray Kids,1,2023,6,2,290,19,65496046,105,F,Minor,89,67,78,9,0,7,33,7,9356578.0
206,Hits Different,Taylor Swift,1,2023,5,26,547,0,68616963,106,F,Major,67,24,78,15,0,30,4,7,9802423.0
207,Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,10,161460990,132,D,Major,85,53,68,40,0,9,4,9,17940110.0
208,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2,332,5,70106975,120,A,Major,78,5,30,21,0,13,5,7,10015282.0
209,Area Codes,"Kaliii, Kaliii",2,2023,3,17,1197,13,113509496,155,C#,Major,82,51,39,2,0,9,49,9,12612166.0
210,Abcdario,"Junior H, Eden Muï¿½ï",2,2023,5,13,262,5,89933133,129,G#,Major,70,42,43,78,0,11,3,7,12847590.0
211,Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,6,71007139,135,F,Minor,80,85,74,62,0,8,9,15,4733809.0
212,Piï¿½ï¿½man Deï¿,"Semicenk, Doï¿½ï¿½u ",2,2023,6,2,185,3,43522589,98,A#,Minor,73,45,62,28,0,13,13,7,6217513.0
213,FLOWER,JISOO,1,2023,3,31,839,18,232896922,124,A,Minor,84,64,39,3,0,11,4,9,25877436.0
214,"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,259,0,37126685,135,A,Minor,77,28,55,18,0,22,15,7,5303812.0
215,Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,195576623,107,D,Major,78,39,53,30,0,11,6,9,21730736.0
216,Escapism.,"RAYE, 070 Shake",2,2022,10,12,5129,25,532336353,96,D,Major,54,25,74,14,0,9,11,14,38024025.0
217,La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,34,538115192,123,G#,Major,71,58,70,30,0,32,19,13,41393476.0
218,Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,588,0,46142772,90,G#,Major,62,7,62,6,0,58,6,7,6591825.0
219,Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,16,401036314,117,F,Minor,72,45,59,14,0,20,21,13,30848947.0
220,Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,8,127026613,133,A,Minor,78,90,84,31,0,7,4,9,14114068.0
221,CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,36,345031710,96,G#,Minor,74,61,83,11,0,35,6,13,26540901.0
222,Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,10,288101651,149,G#,Major,66,85,60,40,0,14,13,13,22161665.0
223,Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,60350538,110,F#,Minor,66,32,40,81,0,11,3,7,8621505.0
224,Players,Coi Leray,1,2022,11,30,4096,6,335074782,105,F#,Major,95,62,52,3,0,5,16,13,25774983.0
225,Bite Me,ENHYPEN,1,2023,5,22,349,69,76767396,105,C#,Major,80,69,78,28,0,11,14,7,10966771.0
226,Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,5,46065667,134,B,Major,76,61,58,6,0,16,3,7,6580810.0
227,Normal,Feid,1,2022,7,8,2461,36,459276435,170,E,Minor,71,59,56,4,0,27,12,18,25515358.0
228,Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,277,1,39666245,81,F#,Major,59,26,60,46,1,25,13,7,5666606.0
229,Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5,138517666,154,F#,Major,63,75,92,31,0,91,5,10,13851767.0
230,Bad Habit,Steve Lacy,1,2022,6,29,8186,12,822633917,169,C#,Major,69,69,51,63,0,38,4,18,45701884.0
231,CUFF IT,Beyoncï¿,1,2022,7,29,7842,10,595900742,115,G,Major,78,64,69,4,0,7,14,17,35052985.0
232,Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,215,6,51985779,84,A,Minor,43,14,74,1,0,19,8,6,8664296.0
233,69,"Nicky Jam, Feid",2,2023,5,18,1134,22,57945987,93,G#,Major,79,58,62,11,0,11,23,7,8277998.0
234,Niï¿½ï¿½a Bo,"Sean Paul, Feid",2,2023,4,21,1305,34,115010040,91,G,Major,82,47,62,10,0,10,15,8,14376255.0
235,Search & Rescue,Drake,1,2023,4,7,2066,6,175097833,142,A#,Minor,82,54,44,6,0,33,7,8,21887229.0
236,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,5,19,896,0,57089066,126,C#,Major,78,20,70,1,0,16,4,7,8155581.0
237,Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797,97,A#,Major,73,10,44,26,0,16,8,14,34884771.0
238,"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,0,32761689,101,F,Major,92,59,51,41,51,26,8,7,4680241.0
239,Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053,98,G,Minor,80,23,48,14,0,6,5,20,52374003.0
240,Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,984,5,153454328,154,F#,Major,59,63,89,18,0,80,9,11,13950393.0
241,Cupido,Tini,1,2023,2,14,1240,24,217672943,120,A,Major,91,63,58,52,0,31,22,10,21767294.0
242,Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13,457184829,150,B,Major,49,4,55,7,0,6,3,14,32656059.0
243,Unstoppable,Sia,1,2016,1,21,7681,13,939844851,174,A,Major,47,27,78,11,0,10,8,96,9790051.0
244,Until I Found You,Stephen Sanchez,1,2021,9,1,4427,4,726434358,202,A#,Major,34,25,51,69,0,18,4,28,25944084.0
245,Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,18,573633020,153,B,Minor,56,42,52,5,0,36,24,14,40973787.0
246,Easy On Me,Adele,1,2021,10,14,10195,20,1406111294,142,F,Major,60,13,37,58,0,13,3,26,54081204.0
247,Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2,2023,5,11,269,4,71573339,108,A,Minor,84,55,47,26,0,20,64,7,10224763.0
248,Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,0,24975653,143,B,Major,83,25,69,4,0,23,12,7,3567950.0
249,Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,14,845,2,145458418,108,D,Major,67,55,67,60,0,80,5,10,14545842.0
250,The Real Slim Shady,Eminem,1,2000,1,1,20763,27,1424589568,104,F,Minor,95,78,66,3,0,4,6,292,4878731.0
251,MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,20,231332117,93,F#,Minor,84,96,79,43,0,18,11,12,19277676.0
252,The Color Violet,Tory Lanez,1,2021,12,10,2585,32,415932686,105,F#,Minor,65,46,53,16,0,9,5,25,16637307.0
253,Glimpse of Us,Joji,1,2022,6,10,6330,6,988515741,170,G#,Major,44,27,32,89,0,14,5,18,54917541.0
254,Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1,50847624,178,C#,Minor,62,56,66,18,0,12,5,8,6355953.0
255,Curtains,Ed Sheeran,1,2023,5,5,715,0,39893489,176,F#,Minor,50,44,76,10,0,32,5,8,4986686.0
256,UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,13,92035115,104,E,Minor,80,38,88,11,0,11,5,8,11504389.0
257,Haegeum,Agust D,1,2023,4,21,244,12,118810253,85,G,Major,70,83,84,31,0,47,30,8,14851282.0
258,Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2,2023,4,30,385,4,77233241,117,F#,Minor,77,69,58,39,0,26,5,8,9654155.0
259,MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,1020,35,206399629,80,0,Major,52,57,48,86,0,15,39,10,20639963.0
260,Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907,98,F,Major,44,36,41,50,0,38,5,8,14718488.0
261,X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,2127,33,266624541,178,C#,Minor,79,58,78,34,0,11,25,11,24238595.0
262,ceilings,Lizzy McAlpine,1,2022,4,8,3242,9,293186992,148,A,Major,51,27,33,48,0,22,3,21,13961285.0
263,Cupid,Fifty Fifty,1,2023,2,24,526,10,139681964,120,D,Major,77,94,66,65,0,38,3,10,13968196.0
264,I AM,IVE,1,2023,4,10,366,15,123132751,122,E,Minor,68,38,88,1,0,8,5,8,15391594.0
265,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,1,1997,1,1,472,2,103762518,144,F,Major,74,75,73,42,0,9,4,328,316349.0
266,Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,12,162887075,96,D,Major,93,47,47,33,0,10,36,10,16288708.0
267,Super,SEVENTEEN,1,2023,4,24,271,12,91221625,137,G#,Major,77,35,88,16,0,17,9,8,11402703.0
268,Slut Me Out,NLE Choppa,1,2022,4,22,816,4,190490915,121,F#,Minor,94,71,61,12,0,53,42,20,9524546.0
269,Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,0,96180277,119,A,Minor,60,10,57,1,0,50,3,8,12022535.0
270,All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,6,185240616,96,D,Major,72,40,47,71,0,13,4,53,3495106.0
271,PROVENZA,Karol G,1,2022,4,21,6587,34,885093467,111,C#,Major,87,53,52,66,1,11,5,20,44254673.0
272,Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,104992946,148,A,Major,90,74,68,14,0,10,19,8,13124118.0
273,Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,147290338,182,A,Major,57,80,59,8,0,6,5,11,13390031.0
274,Shivers,Ed Sheeran,1,2021,9,9,10147,30,1302184087,141,D,Major,79,82,86,28,0,4,9,28,46506575.0
275,Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,30,265,6,158950978,145,E,Minor,76,80,81,19,0,6,9,12,13245915.0
276,Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,351,9,76910644,110,B,Minor,76,26,70,1,0,41,6,8,9613830.0
277,Komang,Raim Laode,1,2022,8,16,158,4,137123880,134,G,Major,70,35,41,41,0,10,3,16,8570242.0
278,DESPECHï¿,ROSALï¿½,1,2022,7,28,7613,33,782369383,130,G,Major,92,78,62,18,0,6,10,17,46021728.0
279,Made You Look,Meghan Trainor,1,2022,10,21,3956,6,502574952,145,A#,Major,84,88,53,35,0,8,7,14,35898211.0
280,Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,10,207033255,130,B,Minor,69,36,90,1,10,15,4,10,20703326.0
281,No Se Va,Grupo Frontera,1,2022,4,28,924,18,404887295,173,0,Major,59,69,53,12,0,23,3,20,20244365.0
282,Punto G,Quevedo,1,2022,11,4,1985,35,381161027,92,B,Minor,75,55,76,25,0,10,15,14,27225788.0
283,Lovers Rock,TV Girl,1,2014,6,5,6339,13,466231982,105,F,Minor,56,57,87,0,1,10,4,116,4019241.0
284,METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,24,357580552,175,G,Minor,59,15,64,43,90,12,10,25,14303222.0
285,Mami Chula,"Quevedo, Jhayco",2,2023,4,27,875,4,61105704,120,G,Minor,80,33,70,22,0,9,4,8,7638213.0
286,En Paris,"El Chachito, Junior H",2,2022,12,24,406,5,198275403,139,D#,Minor,70,77,48,37,0,12,5,12,16522950.0
287,Set Me Free Pt.2,Jimin,1,2023,3,17,340,13,168448603,132,0,Minor,59,56,82,12,0,12,6,9,18716511.0
288,I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,4188,15,705469769,114,A#,Major,32,17,74,14,0,17,3,70,10078140.0
289,Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,105,0,34502215,145,B,Minor,54,19,48,36,0,37,5,8,4312777.0
290,Shut Down,BLACKPINK,1,2022,9,16,1524,17,482175240,110,0,Major,82,67,69,0,0,18,4,15,32145016.0
291,Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,2651,30,304118600,94,G#,Major,89,61,66,17,0,36,16,12,25343217.0
292,Call Out My Name,The Weeknd,1,2018,3,29,11087,6,1449799467,134,C#,Major,45,17,60,21,0,33,4,70,20711421.0
293,Like Crazy (English Version),Jimin,1,2023,3,24,373,19,173627354,120,G,Major,62,32,76,0,0,39,4,9,19291928.0
294,Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,2,200,4,90025258,123,G,Minor,70,86,68,24,0,11,4,11,8184114.0
295,Sunroof,"Nicky Youre, Dazy",2,2021,12,3,3741,17,652704649,131,A#,Major,77,84,71,35,0,15,4,25,26108186.0
296,Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,32502,21,1829992958,171,D,Major,70,6,73,1,0,36,26,267,6853906.0
297,Superman,"Eminem, Dina Rae",2,2002,5,26,7615,14,655466831,130,E,Minor,80,64,76,2,0,20,6,262,2501782.0
298,Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34,146409671,94,B,Major,82,53,67,34,0,9,8,10,14640967.0
299,People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,4,95816024,89,G,Minor,73,44,57,39,0,32,6,8,11977003.0
300,REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,117206995,87,F,Minor,65,71,56,4,0,15,20,9,13022999.0
301,"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,654,3,100409613,124,B,Minor,72,79,78,55,0,15,30,9,11156624.0
302,DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,0,80758350,78,G#,Major,71,80,65,51,0,22,32,9,8973150.0
303,10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,11,1,4942,26,325592432,120,G#,Major,70,70,79,7,0,18,10,14,23256602.0
304,SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,0,58473276,96,F#,Minor,48,50,80,40,0,37,20,9,6497031.0
305,HAPPY,NF,1,2023,3,25,660,0,52722996,106,G,Major,73,22,86,31,0,12,4,9,5858111.0
306,La Bebe,Yng Lvcas,1,2021,12,24,489,17,191945597,170,D,Minor,78,75,46,62,0,12,35,24,7997733.0
307,I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,0,77377503,134,B,Minor,67,11,76,8,47,30,7,9,8597500.0
308,Late Night Talking,Harry Styles,1,2022,5,20,7461,8,743693613,115,A#,Major,71,90,73,30,0,11,5,19,39141769.0
309,Leï¿½,Marï¿½ï¿½lia Mendo,1,2022,12,9,993,4,267789608,130,F#,Major,74,79,87,45,0,30,3,12,22315801.0
310,Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,2020,3,20,9161,5,1221813483,118,0,Major,65,63,79,3,0,10,3,46,26561163.0
311,Something in the Orange,Zach Bryan,1,2022,4,22,3282,12,449701773,110,G,Major,59,22,38,42,0,12,3,20,22485089.0
312,VOID,Melanie Martinez,1,2023,3,29,596,0,67070410,100,A,Major,72,42,66,18,4,19,4,9,7452268.0
313,Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,320,6,116334601,142,G,Minor,70,76,79,26,0,11,7,9,12926067.0
314,Midnight Rain,Taylor Swift,1,2022,10,21,2612,4,433356509,140,0,Major,64,18,37,72,0,12,7,14,30954036.0
315,If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,4,165584767,116,G,Major,90,96,73,62,0,9,4,10,16558477.0
316,You Proof,Morgan Wallen,1,2022,5,13,2128,9,367814306,120,A,Major,73,64,85,25,0,61,3,19,19358648.0
317,LA INOCENTE,"Feid, Mora",2,2022,4,1,2598,37,477033549,92,F,Minor,76,46,79,31,0,7,6,21,22715883.0
318,Malas Decisiones,Kenia OS,1,2022,10,26,542,2,156214700,110,G#,Minor,81,64,79,5,0,31,3,14,11158193.0
319,Murder In My Mind,Kordhell,1,2022,1,21,2459,20,448843705,120,A#,Major,71,57,97,1,0,13,11,23,19514944.0
320,Gangsta's Paradise,"Coolio, L.V.",2,1995,7,11,10624,17,1357608774,80,G#,Major,63,40,61,9,0,56,6,346,3923725.0
321,CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13,2418,26,294352144,115,F,Minor,95,43,69,47,0,9,31,13,22642473.0
322,I Love You So,The Walters,1,2014,11,28,7536,7,972164968,76,A#,Major,58,46,67,65,0,13,4,110,8837863.0
323,Dark Red,Steve Lacy,1,2017,2,20,10431,7,920045682,172,F#,Major,60,77,78,45,0,12,6,83,11084888.0
324,Say You Won't Let Go,James Arthur,1,2016,9,9,15722,16,2420461338,99,A#,Major,40,45,56,69,0,9,5,88,27505242.0
325,The Hills,The Weeknd,1,2015,5,27,25744,4,1947371785,136,0,Minor,36,12,57,9,0,14,8,104,18724729.0
326,Heart To Heart,Mac DeMarco,1,2019,5,10,1640,0,244658767,150,G#,Minor,90,64,14,67,35,11,10,56,4368907.0
327,Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,34,0,68216992,92,A#,Minor,71,41,31,79,0,10,5,8,8527124.0
328,Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,15,1845,16,223582566,95,C#,Major,77,72,87,17,0,7,5,12,18631880.0
329,LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25,3301,30,471819764,102,B,Minor,83,58,83,21,0,10,5,17,27754104.0
330,Low,SZA,1,2022,12,9,1911,0,272377463,145,0,Minor,70,34,55,43,0,16,6,12,22698122.0
331,Numb,Linkin Park,1,2003,3,24,20111,5,1361425037,110,A,Major,50,24,86,0,0,64,4,252,5402480.0
332,Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,2,24,1529,0,149778242,95,0,Major,64,30,77,46,0,38,6,10,14977824.0
333,on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3,615,2,116599790,94,B,Minor,68,81,82,53,0,9,13,10,11659979.0
334,One Thing At A Time,Morgan Wallen,1,2022,12,2,811,4,148469433,142,G,Major,61,92,91,0,0,26,3,13,11420726.0
335,Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5,5730,10,497225336,145,F#,Minor,59,20,74,1,0,15,5,17,29248549.0
336,Ainï¿½ï¿½ï¿½t Tha,Morgan Wallen,1,2023,3,3,356,4,88791109,121,F#,Minor,64,67,80,0,0,36,3,10,8879111.0
337,Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,1,2023,3,3,604,6,125917280,140,D#,Minor,66,43,76,49,0,12,3,10,12591728.0
338,Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,23,1190,0,105062254,137,C#,Minor,84,44,67,8,0,11,6,10,10506225.0
339,Everything I Love,Morgan Wallen,1,2023,1,31,579,0,95623148,104,G#,Major,56,72,85,0,0,15,3,11,8693013.0
340,Heaven,Niall Horan,1,2023,2,17,1553,2,144584800,92,F,Major,57,68,76,7,0,33,3,10,14458480.0
341,LET GO,Central Cee,1,2022,12,15,2301,20,298063749,146,D,Minor,74,51,45,86,0,21,38,12,24838646.0
342,Sial,Mahalini,1,2023,1,23,134,4,166570053,120,D,Major,56,20,43,89,0,12,4,11,15142732.0
343,I Wrote The Book,Morgan Wallen,1,2023,1,31,430,0,83021468,144,D,Major,68,83,81,9,0,8,4,11,7547406.0
344,"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,5,86,0,139836056,94,A,Major,59,44,56,80,0,6,3,14,9988290.0
345,SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,629,14,303216294,94,G#,Major,73,65,79,5,2,11,6,14,21658307.0
346,PLAYA DEL INGLï¿½,"Myke Towers, Quevedo",2,2022,12,15,1701,15,221409663,113,G,Minor,79,66,74,8,0,11,5,12,18450805.0
347,Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,3,3,329,0,58890931,148,E,Major,50,49,76,12,0,12,3,10,5889093.0
348,Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,1168,0,81419389,98,C#,Major,70,29,73,12,0,11,26,10,8141939.0
349,Kahani Suno 2.0,Kaifi Khalil,1,2022,5,31,162,6,156777415,140,B,Major,58,26,38,91,0,10,4,19,8251443.0
350,Nobody Gets Me,SZA,1,2022,12,9,2536,6,284908316,100,G,Major,36,28,28,81,0,18,3,12,23742360.0
351,PERO Tï¿,"Karol G, Quevedo",2,2023,2,23,387,11,93438910,140,F#,Major,86,68,79,39,0,11,29,10,9343891.0
352,Hype Boy,NewJeans,1,2022,8,1,892,17,363472647,100,E,Minor,59,78,94,27,0,29,23,17,21380744.0
353,Bloody Mary,Lady Gaga,1,2011,1,1,3909,0,372476382,100,A,Minor,59,49,65,2,0,13,3,158,2357445.0
354,Monotonï¿½,"Ozuna, Shakira",2,2022,10,19,3645,15,380726517,132,0,Minor,87,82,70,42,0,21,5,14,27194751.0
355,ýýý98 Braves,Morgan Wallen,1,2023,3,3,282,0,56533272,142,D,Major,49,48,67,10,0,26,3,10,5653327.0
356,WANDA,Quevedo,1,2023,1,20,888,22,175399345,176,E,Minor,72,96,63,25,0,21,7,11,15945395.0
357,Thought You Should Know,Morgan Wallen,1,2022,5,6,968,4,203221468,140,F#,Major,53,51,70,49,0,14,3,20,10161073.0
358,In The End,Linkin Park,1,2000,10,24,25065,6,1624165576,105,D#,Minor,55,40,90,1,0,32,6,282,5759452.0
359,Zona De Perigo,Leo Santana,1,2022,12,8,531,4,134294498,135,F,Major,81,97,77,75,0,35,3,12,11191208.0
360,Lovezinho,Treyce,1,2022,7,28,242,0,70069745,128,E,Minor,82,61,59,30,0,12,4,17,4121750.0
361,I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2,2022,6,3,5281,14,609293408,101,F,Major,74,43,69,12,0,12,7,19,32068074.0
362,Neverita,Bad Bunny,1,2022,5,6,2590,30,671365962,122,A#,Major,88,43,50,7,0,14,5,20,33568298.0
363,Vista Al Mar,Quevedo,1,2022,9,8,1769,34,362361576,105,0,Minor,76,49,56,80,12,10,13,15,24157438.0
364,Sem Alianï¿½ï¿½a no ,"MC Xenon, Os Gemeos da Putaria",2,2022,12,23,454,4,93587665,83,C#,Major,53,40,36,73,0,11,33,12,7798972.0
365,Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",4,2021,9,3,6180,7,1223481149,77,B,Minor,72,59,76,24,0,42,28,28,43695755.0
366,Revenge,XXXTENTACION,1,2017,8,25,3600,11,1022258230,140,B,Minor,75,18,25,78,0,11,26,77,13276081.0
367,Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2,2022,11,3,1254,6,263453310,158,C#,Major,65,72,95,31,0,92,5,14,18818094.0
368,LA CANCIï¿½,"J Balvin, Bad Bunny",2,2019,6,28,6398,31,1435127549,176,G,Major,75,43,65,15,0,11,32,54,26576436.0
369,Quï¿½ï¿½ Ago,"Yuridia, Angela Aguilar",2,2022,10,20,660,15,236857112,98,B,Major,73,88,57,56,0,5,2,14,16918365.0
370,Love Again,The Kid Laroi,1,2023,1,27,1283,0,147538971,107,B,Minor,66,47,40,72,0,11,3,11,13412634.0
371,After Hours,The Weeknd,1,2020,2,19,8084,6,698086140,109,F,Minor,66,16,57,10,1,12,3,47,14852897.0
372,About Damn Time,Lizzo,1,2022,7,15,2332,2,723894473,109,A#,Minor,84,72,74,10,0,34,7,17,42582028.0
373,Born With A Beer In My Hand,Morgan Wallen,1,2023,3,3,203,0,34450974,148,0,Major,53,61,81,5,0,36,4,10,3445097.0
374,ýýýýýýýýýýýýýýýýýýýýý,Fujii Kaze,1,2020,5,20,685,14,403097450,158,F#,Minor,60,52,76,17,0,19,5,44,9161306.0
375,Besos Moja2,"Wisin & Yandel, ROSALï¿½",2,2022,9,29,2460,13,309483971,94,F,Minor,74,64,73,6,0,10,6,15,20632265.0
376,Maan Meri Jaan,King,1,2022,10,12,288,6,319566866,96,F#,Minor,70,40,51,35,0,10,4,14,22826205.0
377,Moscow Mule,Bad Bunny,1,2022,5,6,4572,33,909001996,100,F,Minor,80,29,67,29,0,12,3,20,45450100.0
378,My Universe,"Coldplay, BTS",2,2021,9,24,6127,13,1061966512,105,A,Major,58,42,68,1,0,14,4,27,39332093.0
379,Devil Donï¿½ï¿½ï¿½,Morgan Wallen,1,2023,3,3,166,0,32526947,125,0,Major,53,32,66,38,0,9,3,10,3252695.0
380,LLYLM,ROSALï¿½,1,2023,1,27,1838,0,124988687,170,F#,Minor,56,56,63,13,0,19,27,11,11362608.0
